 	Str.	Pos.	Cu rods	length from top of string	HV Row	min hv cable length	HV cable length	LMFE min cable length	selected LMFE cable length	HV Flange	LMFE	CC4 Channel	CC4	CC4 Position	Flange	HE Addr	RPi	HE Cable	FC	Flashcam Channel #	HV Feedthrough	HV Flange	HV Filter	HV Filter Ch (0 L -> 7 R)	HV Filter Insulators	HV Filter Pulser	HV Module	HV Channel	Mass	Comment	CC4 OK	HV OK
String 1																																
																																
																																
String 2																																
																																
																																
String 3																																
																																
																																
V06659A	12	7	120	821.5	U	1191.5	1250	1261.5	1400	B.2.4	110	5	B4	Left	S2	05	1	14	1G1-2		B.2.4	Y	id-011	6	N	N	6	4	2587			
V02166B	12	8	110	931.5	U	1301.5	1350	1371.5	1400	B.2.5	111	6	B4	Left	S2	05	1	14	1G1-3		B.2.5	Y	id-011	7	N	N	6	5	2667			
																																
							53				53																53	53	110.9271			
Distance Birdsnest -> String																																
L from lower HV to det.			330			includes 20mm margin																										
L from upper HV to det.			370			includes 20mm margin																										
L LMFE S1			440																													
L LMFE S2			480																													
L LMFE S3			440																													
L LMFE S4			440																													
L LMFE S5			430																													
L LMFE S6			440																													
L LMFE S7			440																													
L LMFE S8			480																													
L LMFE S9			440																													
L LMFE S10			440																													
L LMFE S11			440																													
L LMFE S12			440																													
																																
																																
																																
			Cable Tail	Flange																												
																																
			A1	S9																												
			A2	S7																												
			A3	S4																												
			A4	S3																												
			A5	S1																												
			B1	S8																												
			B2	S6																												
			B3	S5																												
			B4	S2																												
			B5	S0																												
			C1	L9																												
			C2	L7																												
			C3	L5																												
			C4	L3																												
			C5	L1																												
			D1	L8																												
			D4	L2																												
			D5	L0																												
			E1	R9																												
			E2	R7																												
			E3	R5																												
			E4	R3																												
			E5	R1																												
			F1	R8																												
			F2	R6																												
			F3	R4																												
			F4	R2																												
			F5	R0																												
